ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ
Wall,4,2,4,0,0,0,-1.5,2,1.5
Goal,5.5,1,7.5,0,XM_PI,0,12,0,11
Wall,10,2,7,0,0,0,4.5,2,11
Enemy2,1,1,1,0,0,0,6.5,1.5,6
Enemy1,1,1,1,0,0,0,6.56,1.5,1.48
SoundBlock,1,1,1,0,0,0,4.5,1.5,3
Wall,8,2,14,0,0,0,-10.5,2,-7.5
Enemy2,1,1,1,0,0,0,-5.5,1.5,11
Enemy1,1,1,1,0,0,0,-9,1.5,3.5
SoundBlock,1,1,1,0,0,0,-8.5,1.5,8.5
Enemy2,1,1,1,0,0,0,-3,1.5,-2
Enemy1,1,1,1,0,0,0,-5,1.5,-11
SoundBlock,1,1,1,0,0,0,-1.5,1.5,-7.5
Wall,15,2,1,0,0,0,7,2,-1
Wall,10,2,7,0,0,0,4.5,2,-5
Start,5.5,2,7.5,0,0,0,12,0.5,-5
Wall,30,4,1,0,XM_PIDIV2,0,-15,1,0.5
Wall,30,4,1,0,0,0,-0.5,1,-15
Wall,30,4,1,0,XM_PIDIV2,0,15,1,-0.5
Wall,30,4,1,0,0,0,0.5,1,15
Floor,31,1,23,0,0,0,0,0.5,-4
Floor,25,1,8,0,0,0,-3,0.5,11.5
CheckPoint,1,1,1,0,0,0,-5,1.5,-10
CheckPoint,1,1,1,0,0,0,-5,1.5,7
Player,1,1,1,0,0,0,12,1.5,-10
